Name, Lat, Lon
2012 Uncertain 1,41.7753043,-124.8005665
2012 Uncertain 2,41.58301895,-124.8075171
2012 Uncertain 3,36.78578132,-122.2144992
2012 Uncertain 4,39.68001334,-123.8431475
2012 Uncertain 5,40.49783068,-124.6168588
2012 Uncertain 6,40.52639077,-124.6412439
2012 Uncertain 7,40.52526576,-124.6409415
2012 Uncertain 8,40.52383091,-124.6319226
2012 Uncertain 9,40.63016298,-124.5525418
2012 Uncertain 10,40.63016878,-124.5549455
2012 Uncertain 11,40.63207183,-124.6618123
2012 Uncertain 12,40.63199252,-124.6699109
2012 Uncertain 13,40.80913133,-124.609697
2012 Uncertain 14,40.96551035,-124.5426181
2012 Uncertain 15,44.1317765,-124.930666
2012 Uncertain 16,44.29747496,-124.9326157
2012 Uncertain 17,44.29742005,-124.9308858
2012 Uncertain 18,44.44715619,-124.9183694
2012 Uncertain 19,44.57306507,-124.5514206
2012 Uncertain 20,44.63052117,-124.6737412
2012 Uncertain 21,45.95814141,-124.3596885
2012 Uncertain 22,45.94597064,-124.6244121
2012 Uncertain 23,45.96459842,-124.6754171
2012 Uncertain 24,46.13036767,-124.6361437
2012 Uncertain 25,46.29775487,-124.8561136
2012 Uncertain 26,46.63088017,-124.7553547
2012 Uncertain 27,47.46424891,-124.6568196
2012 Uncertain 28,47.47717483,-124.7487627
2012 Uncertain 29,47.57300674,-124.7077782
2012 Uncertain 30,47.96484674,-125.1928157
2012 Uncertain 31,47.96472516,-125.5045037
2012 Uncertain 32,47.96490633,-125.5925312
2012 Uncertain 33,47.9618266,-125.4965614
2012 Uncertain 34,48.13210166,-125.541099
2012 Uncertain 35,48.13160917,-125.0788908
2012 Uncertain 36,48.13159167,-125.079886
2012 Uncertain 37,48.2974631,-125.2448249
2012 Uncertain 38,48.63075983,-126.1292126
2012 Uncertain 39,48.79589793,-126.334548
2012 Uncertain 40,48.79852135,-126.5275086
2012 Uncertain 41,49.46339417,-127.1390085
