class, Lat, Lon
2018 Uncertain 1,48.26216667,-124.9499494
2018 Uncertain 2,48.26216667,-124.9509562
2018 Uncertain 3,48.26116667,-125.3873506
2018 Uncertain 4,48.27195303,-125.5583691
2018 Uncertain 5,48.26929391,-125.5578806
2018 Uncertain 6,48.26251566,-125.556909
2018 Uncertain 7,47.92600462,-125.1255443
2018 Uncertain 8,47.926,-125.1548667
2018 Uncertain 9,47.9265,-125.1797497
2018 Uncertain 10,47.92642339,-125.1826773
2018 Uncertain 11,47.92642208,-125.1833449
2018 Uncertain 12,47.92641667,-125.1845586
2018 Uncertain 13,47.92642225,-125.1838159
2018 Uncertain 14,47.92640069,-125.185651
2018 Uncertain 15,47.92640689,-125.1867782
2018 Uncertain 16,47.92639906,-125.1886785
2018 Uncertain 17,47.92638833,-125.1893397
2018 Uncertain 18,47.92616667,-125.2046667
2018 Uncertain 19,47.92610281,-125.2082371
2018 Uncertain 20,47.92606307,-125.5588604
2018 Uncertain 21,47.926,-125.5617592
2018 Uncertain 22,47.92583333,-125.5658333
2018 Uncertain 23,47.92583333,-125.5667768
2018 Uncertain 24,47.92574167,-125.5697071
2018 Uncertain 25,47.92569359,-125.5715786
2018 Uncertain 26,47.96498503,-125.4984355
2018 Uncertain 27,47.96462317,-125.4982627
2018 Uncertain 28,47.96387165,-125.4978797
2018 Uncertain 29,47.96262716,-125.4972697
2018 Uncertain 30,47.96168074,-125.496802
2018 Uncertain 31,47.9613534,-125.49664
2018 Uncertain 32,47.93065489,-125.5405083
2018 Uncertain 33,47.75483333,-125.063
2018 Uncertain 34,47.76179527,-124.9998928
