Name, Lat, Lon
2018 Seep 1,48.34416667,-125.1395201
2018 Seep 2,48.34416667,-125.1390407
2018 Seep 3,48.26083333,-125.2469211
2018 Seep 4,48.26083333,-125.2478333
2018 Seep 5,48.26078178,-125.2485843
2018 Seep 6,48.2607478,-125.2497675
2018 Seep 7,48.26073359,-125.2505402
2018 Seep 8,48.26087545,-125.244762
2018 Seep 9,48.26116353,-125.3869284
2018 Seep 10,48.26116982,-125.3883885
2018 Seep 11,48.09453802,-125.5207084
2018 Seep 12,48.0945,-125.52
2018 Seep 13,48.0945,-125.5186667
2018 Seep 14,48.09449547,-125.5182647
2018 Seep 15,48.0945,-125.5177221
2018 Seep 16,48.09448237,-125.5173725
2018 Seep 17,48.09446521,-125.516745
2018 Seep 18,47.58966667,-125.0291667
2018 Seep 19,47.58966667,-125.0326667
2018 Seep 20,47.58966667,-125.0336071
2018 Seep 21,47.58983333,-125.0416667
2018 Seep 22,47.58983333,-125.0429437
2018 Seep 23,47.58992451,-125.0441371
2018 Seep 24,47.58996389,-125.0454645
2018 Seep 25,47.25778,-124.6289598
2018 Seep 26,47.25780333,-124.631257
2018 Seep 27,46.92283333,-124.6896015
2018 Seep 28,46.923,-124.6916667
2018 Seep 29,46.92310842,-124.6930117
2018 Seep 30,46.74983333,-124.832283
2018 Seep 31,46.75,-124.8306667
2018 Seep 32,46.7500839,-124.829924
2018 Seep 33,46.750256,-124.8282801
2018 Seep 34,46.75033333,-124.827
2018 Seep 35,46.75041728,-124.8232293
2018 Seep 36,46.7505,-124.8213025
2018 Seep 37,46.7505,-124.8194313
2018 Seep 38,46.75054182,-124.8180599
2018 Seep 39,46.7505,-124.8168333
2018 Seep 40,46.75059066,-124.8160255
2018 Seep 41,46.75040333,-124.748241
