Name, Lat, Lon
2012 Seep 1,42.29949838,-124.7964996
2012 Seep 2,42.29750771,-124.7965998
2012 Seep 3,37.18144766,-122.7333798
2012 Seep 4,39.79871448,-124.0096445
2012 Seep 5,40.29901755,-124.43102
2012 Seep 6,42.29844362,-124.7973796
2012 Seep 7,42.2984465,-124.8001175
2012 Seep 8,44.4651746,-124.9332512
2012 Seep 9,44.4653569,-124.9239543
2012 Seep 10,47.46437263,-124.6612246
2012 Seep 11,47.46456736,-124.6675937
2012 Seep 12,47.46527815,-124.8950422
2012 Seep 13,47.46495183,-124.9653886
2012 Seep 14,47.4579835,-124.9499023
2012 Seep 15,47.79835757,-125.1064071
2012 Seep 16,47.9636915,-125.3448169
2012 Seep 17,47.96466514,-125.4966222
2012 Seep 18,47.96467145,-125.4977465
2012 Seep 19,47.96468083,-125.4989798
2012 Seep 20,47.96470308,-125.5026313
2012 Seep 21,47.96492188,-125.5215445
2012 Seep 22,47.96485267,-125.529849
2012 Seep 23,47.96486867,-125.527979
2012 Seep 24,47.96487141,-125.5269926
2012 Seep 25,47.96488017,-125.5263543
2012 Seep 26,47.96489217,-125.5257698
2012 Seep 27,47.964905,-125.5250705
2012 Seep 28,47.96491718,-125.5242517
2012 Seep 29,47.96492636,-125.5235556
2012 Seep 30,47.96492564,-125.5228686
2012 Seep 31,47.96480886,-125.5361025
2012 Seep 32,47.95276829,-125.5724286
2012 Seep 33,48.13208264,-125.5364542
2012 Seep 34,48.13207833,-125.5352126
2012 Seep 35,48.13209467,-125.5377766
2012 Seep 36,48.63040594,-126.2709576
2012 Seep 37,49.6309354,-127.642236
2012 Seep 38,49.96432319,-127.9255242
2012 Uncertain 1,41.7753043,-124.8005665
2012 Uncertain 2,41.58301895,-124.8075171
2012 Uncertain 3,36.78578132,-122.2144992
2012 Uncertain 4,39.68001334,-123.8431475
2012 Uncertain 5,40.49783068,-124.6168588
2012 Uncertain 6,40.52639077,-124.6412439
2012 Uncertain 7,40.52526576,-124.6409415
2012 Uncertain 8,40.52383091,-124.6319226
2012 Uncertain 9,40.63016298,-124.5525418
2012 Uncertain 10,40.63016878,-124.5549455
2012 Uncertain 11,40.63207183,-124.6618123
2012 Uncertain 12,40.63199252,-124.6699109
2012 Uncertain 13,40.80913133,-124.609697
2012 Uncertain 14,40.96551035,-124.5426181
2012 Uncertain 15,44.1317765,-124.930666
2012 Uncertain 16,44.29747496,-124.9326157
2012 Uncertain 17,44.29742005,-124.9308858
2012 Uncertain 18,44.44715619,-124.9183694
2012 Uncertain 19,44.57306507,-124.5514206
2012 Uncertain 20,44.63052117,-124.6737412
2012 Uncertain 21,45.95814141,-124.3596885
2012 Uncertain 22,45.94597064,-124.6244121
2012 Uncertain 23,45.96459842,-124.6754171
2012 Uncertain 24,46.13036767,-124.6361437
2012 Uncertain 25,46.29775487,-124.8561136
2012 Uncertain 26,46.63088017,-124.7553547
2012 Uncertain 27,47.46424891,-124.6568196
2012 Uncertain 28,47.47717483,-124.7487627
2012 Uncertain 29,47.57300674,-124.7077782
2012 Uncertain 30,47.96484674,-125.1928157
2012 Uncertain 31,47.96472516,-125.5045037
2012 Uncertain 32,47.96490633,-125.5925312
2012 Uncertain 33,47.9618266,-125.4965614
2012 Uncertain 34,48.13210166,-125.541099
2012 Uncertain 35,48.13160917,-125.0788908
2012 Uncertain 36,48.13159167,-125.079886
2012 Uncertain 37,48.2974631,-125.2448249
2012 Uncertain 38,48.63075983,-126.1292126
2012 Uncertain 39,48.79589793,-126.334548
2012 Uncertain 40,48.79852135,-126.5275086
2012 Uncertain 41,49.46339417,-127.1390085
2017 Seep 1,43.07766495,-124.5360823
2017 Seep 2,43.07827239,-124.5363812
2017 Seep 3,48.25984335,-125.3982165
2017 Seep 4,48.25985667,-125.3979514
2017 Seep 5,48.26032824,-125.3807348
2017 Uncertain 1,43.15093976,-124.5738549
2017 Uncertain 2,43.15122712,-124.5740194
2017 Uncertain 3,43.15156947,-124.5741964
2017 Uncertain 4,43.15589177,-124.5767142
2017 Uncertain 5,48.13021907,-125.5474514
2017 Uncertain 6,48.26160618,-125.2501407
2017 Uncertain 7,47.92639787,-125.2044899
2017 Uncertain 8,47.92614632,-125.1858474
2017 Uncertain 9,47.92614053,-125.1850996
2017 Uncertain 10,47.92612448,-125.1846661
2017 Uncertain 11,47.92611954,-125.1834904
2017 Uncertain 12,47.92611489,-125.1809965
2017 Uncertain 13,47.59116347,-125.0479366
2017 Uncertain 14,47.59178464,-125.0457146
2017 Uncertain 15,47.59238426,-125.0436554
2017 Uncertain 16,47.59264138,-125.0426663
2017 Uncertain 17,47.59323153,-125.0406614
2017 Uncertain 18,47.59896691,-125.0231323
2017 Uncertain 19,47.60392368,-125.0110183
2017 Uncertain 20,47.6011126,-125.0176662
2017 Uncertain 21,47.59642301,-125.0302758
2017 Uncertain 22,47.59671609,-125.0294139
2017 Uncertain 23,47.59358019,-125.0394639
2017 Uncertain 24,47.59382924,-125.038595
2017 Uncertain 25,47.59414658,-125.0374664
2017 Uncertain 26,47.59472833,-125.0354146
2017 Uncertain 27,47.592356,-125.011527
2017 Uncertain 28,47.59213845,-125.0225817
2017 Uncertain 29,47.59213241,-125.023848
2017 Uncertain 30,47.59197765,-125.0352178
2017 Uncertain 31,47.59195064,-125.0378107
2017 Uncertain 32,47.5919032,-125.0398561
2017 Uncertain 33,47.25719333,-124.6277774
2017 Uncertain 34,47.25718228,-124.6293965
2017 Uncertain 35,47.25715167,-124.6312765
2017 Uncertain 36,47.09537169,-124.8875523
2017 Uncertain 37,47.09538646,-124.8867479
2017 Uncertain 38,47.0953913,-124.8856215
2017 Uncertain 39,46.75066575,-124.83593
2017 Uncertain 40,46.75067526,-124.834027
2017 Uncertain 41,46.75066655,-124.8326958
2017 Uncertain 42,46.75071387,-124.831048
2017 Uncertain 43,46.75066143,-124.8321599
2017 Uncertain 44,46.75087509,-124.8214531
2017 Uncertain 45,46.58489776,-124.579008
2013 Seep 1,34.36835013,-119.9517644
2013 Seep 2,34.23246674,-120.2460533
2013 Seep 3,34.19748713,-120.3589419
2013 Seep 4,49.76050093,-127.5508937
2013 Seep 5,49.76056333,-127.5464697
2013 Seep 6,49.76059817,-127.5433242
2013 Seep 7,40.59408053,-124.4834083
2013 Seep 8,40.59408927,-124.4840858
2013 Seep 9,40.59447732,-124.4980223
2013 Seep 10,40.927392,-124.5426632
2013 Seep 11,40.92739937,-124.5487862
2013 Seep 12,34.36835013,-119.9517644
2013 Seep 13,43.93647074,-124.9830617
2013 Seep 14,45.926769,-124.6396323
2013 Seep 15,46.23905843,-124.4979442
2013 Seep 16,46.24217122,-124.5004865
2013 Seep 17,46.244492,-124.5023038
2013 Seep 18,46.24866523,-124.5055075
2013 Seep 19,46.26558912,-124.4199413
2013 Seep 20,46.26559119,-124.422669
2013 Seep 21,46.49531377,-124.4522072
2013 Seep 22,46.9393053,-124.6056763
2013 Seep 23,46.938897,-124.6054567
2013 Seep 24,46.93622777,-124.6040433
2013 Seep 25,46.93793438,-124.6049296
2013 Seep 26,46.93844532,-124.6052124
2013 Seep 27,47.09430333,-124.8858974
2013 Seep 28,47.09429732,-124.8872426
2013 Seep 29,47.09415317,-124.9001924
2013 Seep 30,47.26084817,-124.8699459
2013 Seep 31,47.26088317,-124.8644708
2013 Seep 32,47.26099883,-124.8184596
2013 Seep 33,47.26101472,-124.8165733
2013 Seep 34,47.26103667,-124.8150813
2013 Seep 35,47.26105083,-124.8139212
2013 Seep 36,47.59395349,-125.0500555
2013 Seep 37,47.59406883,-125.0441995
2013 Seep 38,47.59413693,-125.0399607
2013 Seep 39,47.5944511,-125.0255317
2013 Seep 40,47.59423556,-125.0343344
2013 Seep 41,47.59418702,-125.0364913
2013 Seep 42,47.59414702,-125.0387663
2013 Seep 43,47.59416952,-125.0373847
2013 Seep 44,47.59416083,-125.0379769
2013 Seep 45,47.59456826,-125.0150886
2013 Seep 46,47.76085267,-124.9993376
2013 Seep 47,47.90876578,-125.3461147
2013 Seep 48,47.92733807,-125.2040535
2013 Seep 49,47.92731235,-125.2020402
2013 Seep 50,47.92699467,-125.1844984
2013 Seep 51,47.92692241,-125.1815978
2013 Seep 52,47.92687016,-125.1803144
2013 Seep 53,47.59343204,-124.9058632
2013 Seep 54,47.90617977,-125.3423134
2013 Seep 55,47.64356685,-122.450409
2013 Seep 56,48.26123484,-125.6376141
2013 Seep 57,48.26083833,-125.5907349
2013 Seep 58,48.26215217,-125.3864685
2013 Seep 59,48.26127567,-124.9515916
2013 Seep 60,48.42703482,-126.0706234
2013 Seep 61,48.42703724,-126.0718152
2013 Seep 62,48.42704041,-126.0723757
2013 Seep 63,48.42703685,-126.0740721
2013 Seep 64,48.42764983,-126.4099473
2013 Seep 65,48.8660404,-126.4706958
2013 Seep 66,48.86571889,-126.4694488
2013 Seep 67,49.09297512,-126.8525093
2013 Seep 68,49.09286317,-126.8585068
2013 Seep 69,49.11022262,-126.8631411
2013 Seep 70,49.2670683,-126.9127079
2013 Seep 71,49.26692712,-126.9135051
2013 Seep 72,46.21294649,-124.2970468
2013 Uncertain 1,33.8854974,-118.7140174
2013 Uncertain 2,34.13850212,-119.3540121
2013 Uncertain 3,34.20033063,-119.5258892
2013 Uncertain 4,34.19919903,-119.5282726
2013 Uncertain 5,34.19842117,-119.5299227
2013 Uncertain 6,34.19756607,-119.5317271
2013 Uncertain 7,34.197741,-120.3598517
2013 Uncertain 8,34.29284821,-120.1509958
2013 Uncertain 9,34.36642768,-119.9969343
2013 Uncertain 10,34.37078025,-119.9871193
2013 Uncertain 11,34.3719205,-119.9845582
2013 Uncertain 12,34.31118517,-120.1787967
2013 Uncertain 13,34.21459718,-120.3940854
2013 Uncertain 14,49.76067308,-127.5345399
2013 Uncertain 15,49.97726873,-128.0998716
2013 Uncertain 16,50.00278815,-128.1657737
2013 Uncertain 17,40.59482546,-124.5824613
2013 Uncertain 18,41.03017969,-124.5183468
2013 Uncertain 19,40.93883174,-124.4681989
2013 Uncertain 20,40.9375027,-124.4686054
2013 Uncertain 21,40.93364386,-124.4630112
2013 Uncertain 22,41.26018253,-124.3532019
2013 Uncertain 23,41.25970415,-124.3631228
2013 Uncertain 24,41.42761814,-124.4458786
2013 Uncertain 25,41.42765892,-124.4336436
2013 Uncertain 26,41.42766067,-124.4326768
2013 Uncertain 27,41.59275717,-124.415373
2013 Uncertain 28,41.76095668,-124.3344289
2013 Uncertain 29,41.76033416,-124.3027863
2013 Uncertain 30,41.7836035,-124.4101838
2013 Uncertain 31,41.92765093,-124.3445422
2013 Uncertain 32,42.0934282,-124.5321177
2013 Uncertain 33,41.91073579,-124.5275257
2013 Uncertain 34,41.90635889,-124.5286735
2013 Uncertain 35,41.90571139,-124.5333294
2013 Uncertain 36,42.42794186,-124.5482575
2013 Uncertain 37,42.62301661,-124.6510781
2013 Uncertain 38,42.886241,-124.7144309
2013 Uncertain 39,43.03042792,-124.6701837
2013 Uncertain 40,43.03117206,-124.669763
2013 Uncertain 41,43.03180933,-124.6694
2013 Uncertain 42,43.03583769,-124.6667636
2013 Uncertain 43,43.06056837,-124.6481216
2013 Uncertain 44,42.56665179,-124.6332878
2013 Uncertain 45,42.5688549,-124.6340032
2013 Uncertain 46,42.57034074,-124.6344833
2013 Uncertain 47,34.197741,-120.3598517
2013 Uncertain 48,34.26432276,-120.1954239
2013 Uncertain 49,34.25867646,-120.1977537
2013 Uncertain 50,34.29284821,-120.1509958
2013 Uncertain 51,34.23246674,-120.2460533
2013 Uncertain 52,34.19748713,-120.3589419
2013 Uncertain 53,34.36642768,-119.9969343
