photo_id,nav_id,lag_s,dive_name,date_time,site_general,sci_name,counts,common_name,filename,filepath,comment,lat_r,long_r,depth
11591,538311,1,05-077A,3/18/2005 17:39:13,117 Seamount,Methane seep,,Methane seep,DSCN1776.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1776.JPG,,33.543915,-119.209115,-228.9
11592,538316,1,05-077A,3/18/2005 17:39:23,117 Seamount,Methane seep,,Methane seep,DSCN1777.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1777.JPG,,33.543912,-119.209102,-228.6
11593,538334,1,05-077A,3/18/2005 17:40:00,117 Seamount,Methane seep,,Methane seep,DSCN1778.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1778.JPG,,33.543715,-119.209045,-231
11595,538372,1,05-077A,3/18/2005 17:41:16,117 Seamount,Methane seep,,Methane seep,DSCN1780.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1780.JPG,,33.543528,-119.208755,-227.2
11596,538375,1,05-077A,3/18/2005 17:41:24,117 Seamount,Methane seep,,Methane seep,DSCN1781.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1781.JPG,,33.543538,-119.208742,-227.1
11597,538381,0,05-077A,3/18/2005 17:41:35,117 Seamount,Methane seep,,Methane seep,DSCN1782.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1782.JPG,,33.543583,-119.20867,-227.3
11598,538391,1,05-077A,3/18/2005 17:41:56,117 Seamount,Methane seep,,Methane seep,DSCN1783.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1783.JPG,,33.543583,-119.208727,-226.6
11600,538474,1,05-077A,3/18/2005 17:44:46,117 Seamount,Methane seep,,Methane seep,DSCN1785.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1785.JPG,,33.543887,-119.208907,-230
11601,538488,0,05-077A,3/18/2005 17:45:14,117 Seamount,Methane seep,,Methane seep,DSCN1786.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1786.JPG,,33.543803,-119.208858,-227.8
11603,538515,0,05-077A,3/18/2005 17:46:09,117 Seamount,Methane seep,,Methane seep,DSCN1788.JPG,\\swc-storage1\ROV\PHOTOS\05-077A\DSCN1788.JPG,,33.543752,-119.208702,-229.7
13835,594453,0,05-115A,4/25/2005 15:40:55,Osborne Bank,Methane seep,,Methane seep,DSCN4138.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4138.JPG,,33.368867,-119.065918,-79
13836,594465,0,05-115A,4/25/2005 15:41:19,Osborne Bank,Methane seep,,Methane seep,DSCN4139.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4139.JPG,,33.369287,-119.065702,-77
13837,594478,1,05-115A,4/25/2005 15:41:46,Osborne Bank,Methane seep,,Methane seep,DSCN4140.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4140.JPG,,33.36918,-119.066193,-77.7
13838,594490,1,05-115A,4/25/2005 15:42:10,Osborne Bank,Methane seep,,Methane seep,DSCN4141.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4141.JPG,,33.369232,-119.06594,-77.7
13841,594511,1,05-115A,4/25/2005 15:42:52,Osborne Bank,Methane seep,,Methane seep,DSCN4144.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4144.JPG,,33.369045,-119.065742,-77
13842,594515,1,05-115A,4/25/2005 15:43:00,Osborne Bank,Methane seep,,Methane seep,DSCN4145.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4145.JPG,,33.368935,-119.066018,-77.7
13843,594518,1,05-115A,4/25/2005 15:43:06,Osborne Bank,Methane seep,,Methane seep,DSCN4146.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4146.JPG,,33.36909,-119.065717,-77.7
13846,594543,1,05-115A,4/25/2005 15:43:56,Osborne Bank,Methane seep,,Methane seep,DSCN4149.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4149.JPG,,33.369055,-119.065808,-78.3
13847,594561,0,05-115A,4/25/2005 15:44:31,Osborne Bank,Methane seep,,Methane seep,DSCN4150.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4150.JPG,,33.369255,-119.06566,-78.3
13848,594566,1,05-115A,4/25/2005 15:44:42,Osborne Bank,Methane seep,,Methane seep,DSCN4151.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4151.JPG,,33.369217,-119.06571,-77
13849,594596,0,05-115A,4/25/2005 15:45:41,Osborne Bank,Methane seep,,Methane seep,DSCN4152.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4152.JPG,,33.369275,-119.065743,-79
13850,594600,0,05-115A,4/25/2005 15:45:49,Osborne Bank,Methane seep,,Methane seep,DSCN4153.JPG,\\swc-storage1\ROV\PHOTOS\05-115A\DSCN4153.JPG,,33.369165,-119.065322,-78.3
33843,1678417,0,09-286A,10/13/2009 2:23:10,Snakehead Bank,Methane seep,,Methane seep,DSCN3439.TIF,\\swc-storage1\ROV\PHOTOS\09-286A\DSCN3439.TIF,,56.074682,-153.963793,-143.1
33844,1678442,0,09-286A,10/13/2009 2:23:35,Snakehead Bank,Methane seep,,Methane seep,DSCN3440.TIF,\\swc-storage1\ROV\PHOTOS\09-286A\DSCN3440.TIF,,56.074682,-153.963778,-143.8
33845,1678467,0,09-286A,10/13/2009 2:24:00,Snakehead Bank,Methane seep,,Methane seep,DSCN3441.TIF,\\swc-storage1\ROV\PHOTOS\09-286A\DSCN3441.TIF,,56.074678,-153.963768,-143.1
33846,1678502,0,09-286A,10/13/2009 2:24:35,Snakehead Bank,Methane seep,,Methane seep,DSCN3442.TIF,\\swc-storage1\ROV\PHOTOS\09-286A\DSCN3442.TIF,,56.074678,-153.96379,-142.4
46151,2122689,0.1,12-285A,10/11/2012 14:25:34,Osborne Bank,Methane seep,,Methane seep,DSCN4971.JPG,\\swc-storage1\ROV\PHOTOS\12-285A\DSCN4971.JPG,,33.362355,-119.060183,-87.6
46149,2122673,0.1,12-285A,10/11/2012 14:25:02,Osborne Bank,Methane seep,,Methane seep,DSCN4969.JPG,\\swc-storage1\ROV\PHOTOS\12-285A\DSCN4969.JPG,,33.362292,-119.0601,-87.5
